species,replicate,site,tag_ID,d_start,d_end,length_start,new_length,segment,lvs_start_length,lvs_start_count,lvs_finish_length,lvs_end_count,lvs_new,lvs_new_count,,new&shed,80.10%,,mm,leaves,lvs per mm,
BAER,1,Basin2005,BAER_001,130,262,117,70,N/A - bn 4&5,235,100,177,,70,,,,,,,,,
BAER,2,Basin2005,BAER_002,179,337,188,128,3,365,,188,30,128,,,,,,,,,
BAER,3,Basin2005,BAER_003,184,315,263,184,4,559,,300,4,184,,,,,,,,,
BAER,4,Basin2005,BAER_004,170,437,158,138,5,330,,158,32,138,,,,,,,,,
BAER,5,Basin2005,BAER_005,109,260,70,82,5,351,,195,14,82,,,,,,,,,
BAER,6,Basin2005,BAER_006,156,265,156,114,4,454,,283,39,114,,,,,,,,,
BAER,7,Basin2005,BAER_007,174,218,120,62,5,320,90,120,64,62,,,,,,,,,
BAER,101,Waratah2011,BAER_101,222,318,185,110,1,,88,,54,110,,,,,counts of juvenile leaves,,,,
BAER,102,Waratah2011,BAER_102,100,239,68,62,1,,18,,2,28,12,,,,counts of juvenile leaves,,,,
BAER,103,Waratah2011,BAER_103,132,215,90,124,1,,22,,12,124,,,,,counts of juvenile leaves,,,,
BAER,104,Waratah2011,BAER_104,99,215,67,176,NA,,32,,17,141,22,,,,counts of juvenile leaves,,,,
BAER,105,Waratah2011,BAER_105,177,460,135,237,1,,43,,20,237,,,,,counts of juvenile leaves,,,,
BAER,106,Waratah2011,BAER_106,139,282,95,105,1,77,,,3,80,6,,,,initial length = juv leaves,,,,
BAER,107,Waratah2011,BAER_107,62,149,38,85,2,,22,,10,81,2,,,,,,,,
BAER,151,Waratah2011,BAER_151,222,392,360,172,2,360,40,280,3,172,,,,,leaf counts are juvenile leaves,,,,
BAER,152,Waratah2011,BAER_152,194,414,280,161,3,280,34,265,11,161,,,,,leaf counts are juvenile leaves,,,,
BAER,153,Waratah2011,BAER_153,369,735,735,365,2,885,,670,,365,,,,,"some of initial length (up to 150 mm worth, but probably less than that) would have been juvenile leaves",,,,
BAER,154,Waratah2011,BAER_154,202,281,40,393,3,485,,310,4,393,,,,,leaf counts are juvenile leaves,,,,
BAER,155,Waratah2011,BAER_155,182,456,285,269,2,475,,285,,269,,,,,"some of initial length (up to 190 mm worth, but probably less than that) would have been juvenile leaves",,,,
BAER,156,Waratah2011,BAER_156,84,312,40,197,3,427,,250,,197,,,,,,,,,
BAER,157,Waratah2011,BAER_157,181,353,217,107,3,217,62,55,3,107,,,,,,,,,
BAER,301,Wilunga2012,BAER_301,149,434.33,92,312,1,,30,,6,312,,,,,leaf counts = juvenile leaves,,,,
BAER,302,Wilunga2012,BAER_302,168.33,694.67,123,460,1,,38,,12,460,,,,,leaf counts = juvenile leaves,,,,
BAER,303,Wilunga2012,BAER_303,155,473.67,67,238,1,,24,,6,238,,,,,leaf counts = juvenile leaves,,,,
BAER,306,Wilunga2012,BAER_306,146.67,326.67,52,156,1,,10,,0,96,6,,14,,leaf counts = juvenile leaves,,,,
BAER,308,Wilunga2012,BAER_308,142.67,464.67,88,275,1,,23,,13,256,7,,,,leaf counts = juvenile leaves,,,,
BAER,309,Wilunga2012,BAER_309,127.67,448,41,204,1,,10,,4,150,10,,30,,leaf counts = juvenile leaves,,,,
BAER,311,Wilunga2012,BAER_311,196.67,505,106,204,1,,36,,29,195,,,,,leaf counts = juvenile leaves,,,,
BAER,315,Wilunga2012,BAER_315,194.33,507.33,100,274,1,,37,,15,266,,,,,leaf counts = juvenile leaves,,,,
BAER,401,Basin2007,BAER_401,119,183,110,50,3,291,,170,,50,,,,,,,,,
BAER,402,Basin2007,BAER_402,93,150,89,77,3,159,,119,,77,,,,,,,,,
BAER,403,Basin2007,BAER_403,116,226,105,92,3,190,5,160,,92,,,,,,,,,
BAER,404,Basin2007,BAER_404,155,188,136,45,3,261,7,105,5,45,,,,,,,,,
BAER,405,Basin2007,BAER_405,174,293,210,135,3,418,,190,41,135,,,,,,,,,
BAER,406,Basin2007,BAER_406,114,179,105,85,3,170,15,105,,85,,,,,,,,,
BAER,407,Basin2007,BAER_407,95,166,81,57,3,106,,70,4,57,,,,,,,,,
BAER,801,Waratah2003,BAER_801,193,302,146,121,5,489,40,,66,121,,,,,,,,,
BAER,802,Waratah2003,BAER_802,125,309,133,160,4,434,,133,36,160,,,,,,,,,
BAER,803,Waratah2003,BAER_803,126,204,75,122,5,380,7,75,39,122,,,,,,,,,
BAER,804,Waratah2003,BAER_804,139,235,81,80,5,401,7,81,16,80,,,,,"not longest new shoot, but others already shedding, assuming damaged; info for others on map",,,,
BAER,805,Waratah2003,BAER_805,116,183,78,70,4,286,53,78,1,70,,,,,,,,,
BAER,806,Waratah2003,BAER_806,149,217,90,117,5,446,33,48,25,117,,,,,,,,,
