species,replicate,site,age,individual,date_tagged,date_harvested,repro_description,date_census,census,pre-new,repro_verbal,inflorescence_stalk,inflorescence_bud_tiny,inflorescence_bud_small,inflorescence_bud_mid,inflorescence_bud_big_bracts,inflorescence_bud_big_flowers,bud_aborted,bud_tiny,bud_tiny_by_length,bud_small,bud_small_by_length,bud_mid,bud_mid_by_length,bud_big,bud_big_by_length,bud_just_opening,bud_just_opening_by_length,flower_petals,flower_petals_by_length,flower_petals_small,flower_stigma,flower_stigma_by_length,flower_calyx,flower_calyx_by_length,flower_aborted,flower_aborted_without_petals,flower_style_by_length,finished_flower,finished_flower_by_length,finished_flower_stigma,finished_flower_stigma_by_length,late_finished_flower,bract_flower_or_finished_flower,inflorescence_stalk_in_fruit,inflorescence_stalk_in_fruit_large,inflorescence_stalk_in_fruit_very_large,fruit_just_starting,fruit_just_starting_by_length,fruit_young,fruit_young_by_length,cone_just_starting_05,fruit_large_immature_01,fruit_large_immature_02,fruit_large_immature_03,fruit_large_immature_04,fruit_large_immature_05,fruit_large_immature_06,fruit_large_immature_01_by_length,fruit_aborted,fruit_aborted_by_length,fruit_empty,fruit_mature,fruit_mature_by_length,calyx_fruit,calyx_fruit_by_length,bract_fruit,pedicel,seed_pod,seed_pod_by_length,seed_immature,seed_aborted,seed,seed_by_length,cone_just_starting_01,cone_just_starting_02,cone_just_starting_03,cone_just_starting_04,cone_young_01,cone_young_02,cone_young_03,cone_young_04,cone_green_01,cone_green_02,cone_green_03,cone_green_04,cone_brown_no_expanded_follicles,cone_brown,cone_aborted,cone_base_green_01,cone_base_green_02,cone_base_green_03,cone_base_green_04,cone_base_brown
BAER,1,Basin2005,7,BAER_001,15-Mar-12,,"repro Jan 31, 2013 (all sites)",,13,pre-existing,"2 new cones: 20 mm, 60 mm long",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60;20,,,,,,,,,,,,,,
BAER,1,Basin2005,7,BAER_001,15-Mar-12,,"repro Jan 31, 2013 (all sites)",,13,new,"2 new cones: 20 mm, 60 mm long",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAER,1,Basin2005,7,BAER_001,15-Mar-12,,"repro Feb 21, 2013 (all sites)",,14,pre-existing,"2 new cones: 42, 113 mm long",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113;42,,,,,,,,,,,,,
BAER,1,Basin2005,7,BAER_001,15-Mar-12,,"repro Feb 21, 2013 (all sites)",,14,new,"2 new cones: 42, 113 mm long",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAER,1,Basin2005,7,BAER_001,15-Mar-12,,"repro March 14, 2013 (all sites)",,15,pre-existing,"2 cones: 130 mm (buds formed), 75 mm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,126x12,,,,,,,,,,,
BAER,1,Basin2005,7,BAER_001,15-Mar-12,,"repro March 14, 2013 (all sites)",,15,new,"2 cones: 130 mm (buds formed), 75 mm",,,,,,,,,,,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12x12,,,,
BAER,1,Basin2005,7,BAER_001,15-Mar-12,,"repro April 11 (Basin, Bobbin); April 12 (Waratah)",,16,pre-existing,"2 cones: 130x16+12b (flowers open), 100x11.5+10b (small buds)",,,,,,,,,,,,,,,,,,,126,,,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95x13,126x14.3,,,,,,12x14.3;10x13,,,,
BAER,1,Basin2005,7,BAER_001,15-Mar-12,,"repro April 11 (Basin, Bobbin); April 12 (Waratah)",,16,new,"2 cones: 130x16+12b (flowers open), 100x11.5+10b (small buds)",,,,,,,,,,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAER,1,Basin2005,7,BAER_001,15-Mar-12,,repro May (at harvest or late May),,17,pre-existing,"2 cones: 130x14+12b (late flower), 98x12+10b (almost open f)",,,,,,,,,,,,,,,,,95,,,,,,,,,,126,,,,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAER,1,Basin2005,7,BAER_001,15-Mar-12,,repro May (at harvest or late May),,17,new,"2 cones: 130x14+12b (late flower), 98x12+10b (almost open f)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAER,1,Basin2005,7,BAER_001,15-Mar-12,,repro mid June (at harvest),,18,pre-existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAER,1,Basin2005,7,BAER_001,15-Mar-12,,repro mid June (at harvest),,18,new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAER,2,Basin2005,7,BAER_002,1-May-12,,repro at March or early April tagging,,1,pre-existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAER,2,Basin2005,7,BAER_002,1-May-12,,repro at March or early April tagging,,1,new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAER,2,Basin2005,7,BAER_002,1-May-12,,repro at late April or May tagging),,2,pre-existing,no reproduction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAER,2,Basin2005,7,BAER_002,1-May-12,,repro at late April or May tagging),,2,new,no reproduction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAER,2,Basin2005,7,BAER_002,1-May-12,,"repro June 1, 2012(Basin)/June 15,2012 (Waratah)",,3,pre-existing,no reproduction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAER,2,Basin2005,7,BAER_002,1-May-12,,"repro June 1, 2012(Basin)/June 15,2012 (Waratah)",,3,new,no reproduction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAER,2,Basin2005,7,BAER_002,1-May-12,,"repro June 26 (Bobbin, Basin 5/6) ,28 (Basin 7/8 & 30),29 (Waratah)",,4,pre-existing,no reproduction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAER,2,Basin2005,7,BAER_002,1-May-12,,"repro June 26 (Bobbin, Basin 5/6) ,28 (Basin 7/8 & 30),29 (Waratah)",,4,new,no reproduction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAER,2,Basin2005,7,BAER_002,1-May-12,,"repro Aug 7 (3 Basin sites), Aug 9 (Waratah, Bobbin)",,5,pre-existing,no reproduction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAER,2,Basin2005,7,BAER_002,1-May-12,,"repro Aug 7 (3 Basin sites), Aug 9 (Waratah, Bobbin)",,5,new,no reproduction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAER,2,Basin2005,7,BAER_002,1-May-12,,"repro Aug 28 (Basin), Aug 30 (Waratah)",,6,pre-existing,no reproduction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAER,2,Basin2005,7,BAER_002,1-May-12,,"repro Aug 28 (Basin), Aug 30 (Waratah)",,6,new,no reproduction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAER,2,Basin2005,7,BAER_002,1-May-12,,"repro  Sept 14 (Bobbin, Basin 30yr, Basin 7/8, Basin 5/6), Sept 18 (**Basin 5/6, Waratah 3/4)",,7,pre-existing,no reproduction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAER,2,Basin2005,7,BAER_002,1-May-12,,"repro  Sept 14 (Bobbin, Basin 30yr, Basin 7/8, Basin 5/6), Sept 18 (**Basin 5/6, Waratah 3/4)",,7,new,no reproduction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAER,2,Basin2005,7,BAER_002,1-May-12,,"repro Oct 11 (Basin), Oct 16 (Waratah, Bobbin)",,8,pre-existing,no reproduction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAER,2,Basin2005,7,BAER_002,1-May-12,,"repro Oct 11 (Basin), Oct 16 (Waratah, Bobbin)",,8,new,no reproduction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAER,2,Basin2005,7,BAER_002,1-May-12,,"repro Nov 1 (Basin), Nov 2 (Waratah, Bobbin)",,9,pre-existing,no reproduction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAER,2,Basin2005,7,BAER_002,1-May-12,,"repro Nov 1 (Basin), Nov 2 (Waratah, Bobbin)",,9,new,no reproduction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAER,2,Basin2005,7,BAER_002,1-May-12,,"repro Nov 20 (Basin), Nov 23 (Waratah, Bobbin)",,10,pre-existing,no reproduction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAER,2,Basin2005,7,BAER_002,1-May-12,,"repro Nov 20 (Basin), Nov 23 (Waratah, Bobbin)",,10,new,no reproduction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAER,2,Basin2005,7,BAER_002,1-May-12,,"repro Dec 11 (Waratah, Bobbin), Dec 13 (Basin)",,11,pre-existing,1 infl expanding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAER,2,Basin2005,7,BAER_002,1-May-12,,"repro Dec 11 (Waratah, Bobbin), Dec 13 (Basin)",,11,new,1 infl expanding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAER,2,Basin2005,7,BAER_002,1-May-12,,repro Jan 5 (all sites),,12,pre-existing,"1 new cone, 10 mm long",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAER,2,Basin2005,7,BAER_002,1-May-12,,repro Jan 5 (all sites),,12,new,"1 new cone, 10 mm long",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,
BAER,2,Basin2005,7,BAER_002,1-May-12,,"repro Jan 31, 2013 (all sites)",,13,pre-existing,1 new cone: 40 mm long,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,
BAER,2,Basin2005,7,BAER_002,1-May-12,,"repro Jan 31, 2013 (all sites)",,13,new,1 new cone: 40 mm long,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAER,2,Basin2005,7,BAER_002,1-May-12,,"repro Feb 21, 2013 (all sites)",,14,pre-existing,1 new cone: 73 mm long,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,
BAER,2,Basin2005,7,BAER_002,1-May-12,,"repro Feb 21, 2013 (all sites)",,14,new,1 new cone: 73 mm long,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAER,2,Basin2005,7,BAER_002,1-May-12,,"repro March 14, 2013 (all sites)",,15,pre-existing,"1 cone, 98 mm (buds just starting)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,
BAER,2,Basin2005,7,BAER_002,1-May-12,,"repro March 14, 2013 (all sites)",,15,new,"1 cone, 98 mm (buds just starting)",,,,,,,,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAER,2,Basin2005,7,BAER_002,1-May-12,,"repro April 11 (Basin, Bobbin); April 12 (Waratah)",,16,pre-existing,1 cone: 105x12+20b (mid buds),,,,,,,,,,,,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93x9,,,,,,,,,,,
BAER,2,Basin2005,7,BAER_002,1-May-12,,"repro April 11 (Basin, Bobbin); April 12 (Waratah)",,16,new,1 cone: 105x12+20b (mid buds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10x9,,,,
BAER,2,Basin2005,7,BAER_002,1-May-12,,repro May (at harvest or late May),,17,pre-existing,1 cone: 104x11.5+20b (just opening),,,,,,,,,,,,,,,,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93x10,,,,,,,10x10,,,
BAER,2,Basin2005,7,BAER_002,1-May-12,,repro May (at harvest or late May),,17,new,1 cone: 104x11.5+20b (just opening),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAER,2,Basin2005,7,BAER_002,1-May-12,,repro mid June (at harvest),,18,pre-existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAER,2,Basin2005,7,BAER_002,1-May-12,,repro mid June (at harvest),,18,new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAER,3,Basin2005,7,BAER_003,3-May-12,,repro at March or early April tagging,,1,pre-existing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAER,3,Basin2005,7,BAER_003,3-May-12,,repro at March or early April tagging,,1,new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
