sort01,sort02,species,replicate,individual,site,age,age_exact,date,start_end,census,interval,year,year_div,segment,node_below,node_above,plant_status,use_status,stem_weight,leaf_weight,root_weight,diameter_1,diameter_2,diameter_3,diameter_ave,total_stem_weight,total_leaf_weight,total_plant_weight,height,notes
1,,BAER,B-01,BAER_B-01,baby,0.1,0.1,28-Jun-13,start,19,,2013,2013,1,0,1,alive,do_not_use,73.5,327,,1.68,1.64,1.65,1.66,73.5,327,400.5,107,
2,,BAER,B-02,BAER_B-02,baby,0.1,0.1,28-Jun-13,start,19,,2013,2013,1,0,1,alive,do_not_use,98.1,525.1,,1.91,1.77,1.865,1.85,98.1,525.1,623.2,147,
3,,BAER,B-03,BAER_B-03,baby,0.1,0.1,28-Jun-13,start,19,,2013,2013,1,0,1,alive,do_not_use,67.9,330.5,,1.59,1.67,1.59,1.62,67.9,330.5,398.4,98,
4,,BAER,B-04,BAER_B-04,baby,0.1,0.1,28-Jun-13,start,19,,2013,2013,1,0,1,alive,do_not_use,51.4,153.8,,1.87,1.8,1.82,1.83,51.4,153.8,205.2,64,
5,,BAER,B-05,BAER_B-05,baby,0.1,0.1,28-Jun-13,start,19,,2013,2013,1,0,1,alive,do_not_use,17.3,54.9,,0.94,0.88,1.01,0.94,17.3,54.9,72.2,28,
6,,BAER,B-06,BAER_B-06,baby,0.1,0.1,28-Jun-13,start,19,,2013,2013,1,0,1,alive,do_not_use,93.2,395.6,,0.96,2.04,1.99,1.66,93.2,395.6,488.8,143,
7,,BAER,B-09,BAER_B-09,baby,0.1,0.1,22-Jan-14,start,25,,2013,2013,1,0,1,alive,do_not_use,38.6,151.2,,1.44,1.6,,1.52,38.6,151.2,189.8,81,no leaves shed
8,,BAER,B-099,BAER_B-099,baby,0.1,0.1,22-Jan-14,start,25,,2013,2013,1,0,1,alive,do_not_use,37.6,159.8,,1.36,1.31,,1.34,37.6,159.8,197.4,82,
9,,BAER,B-10,BAER_B-10,baby,0.1,0.1,22-Jan-14,start,25,,2013,2013,1,0,1,alive,do_not_use,107.8,477.6,,1.45,1.44,,1.45,107.8,477.6,585.4,138,"no lvs shed, 1 coty shed"
10,,BOLE,B-01,BOLE_B-01,baby,0.1,0.1,28-Jun-13,start,19,,2013,2013,1,0,1,alive,do_not_use,15.4,32.6,,0.89,,,0.89,15.4,32.6,48,45,
11,,BOLE,B-02,BOLE_B-02,baby,0.1,0.1,28-Jun-13,start,19,,2013,2013,1,0,1,alive,do_not_use,14.6,52.7,,0.83,,,0.83,14.6,52.7,67.3,52,
12,,BOLE,B-03,BOLE_B-03,baby,0.1,0.1,28-Jun-13,start,19,,2013,2013,1,0,1,alive,do_not_use,8.5,20.7,,0.6,,,0.6,8.5,20.7,29.2,45,
13,,BOLE,B-04,BOLE_B-04,baby,0.1,0.1,28-Jun-13,start,19,,2013,2013,1,0,1,alive,do_not_use,13.8,56.9,,0.85,,,0.85,13.8,56.9,70.7,45,
14,,BOLE,B-07,BOLE_B-07,baby,0.1,0.1,22-Jan-14,start,25,,2013,2013,1,0,1,alive,do_not_use,25.9,108.1,,1.03,,,1.03,25.9,108.1,134,74,see env
15,,BOLE,B-08,BOLE_B-08,baby,0.1,0.1,22-Jan-14,start,25,,2013,2013,1,0,1,alive,do_not_use,26.6,95.9,,0.79,0.83,,0.81,26.6,95.9,122.5,75,15 lvs
16,,BOLE,B-10,BOLE_B-10,baby,0.1,0.1,22-Jan-14,start,25,,2013,2013,1,0,1,alive,do_not_use,17.3,77.9,,0.65,,,0.65,17.3,77.9,95.2,45,see env
17,,COER,B-01,COER_B-01,baby,0.1,0.1,22-Jan-14,start,25,,2013,2013,1,0,1,alive,do_not_use,3.1,29.1,,0.77,,,0.77,3.1,29.1,32.2,16,see env
18,,COER,B-02,COER_B-02,baby,0.1,0.1,22-Jan-14,start,25,,2013,2013,1,0,1,alive,do_not_use,7.3,36.4,,0.86,,,0.86,7.3,36.4,43.7,39,22 lvs
19,,COER,B-03,COER_B-03,baby,0.1,0.1,22-Jan-14,start,25,,2013,2013,1,0,1,alive,do_not_use,1,3.3,,0.91,0.92,,0.92,1,3.3,4.3,16,
20,,COER,B-04,COER_B-04,baby,0.1,0.1,22-Jan-14,start,25,,2013,2013,1,0,1,alive,do_not_use,3.2,30.8,,0.93,0.86,,0.9,3.2,30.8,34,15,
21,,COER,B-05,COER_B-05,baby,0.1,0.1,27-Jan-14,start,25,,2013,2013,1,0,1,alive,do_not_use,11.1,75.2,,1.19,1.25,,1.22,11.1,75.2,86.3,27,full length with lvs
22,,COER,B-06,COER_B-06,baby,0.1,0.1,27-Jan-14,start,25,,2013,2013,1,0,1,alive,do_not_use,22.4,104,,1.21,1.23,,1.22,22.4,104,126.4,52,recently dead
